date,Brazil
2/2/21,9283418.0
2/3/21,9339420.0
2/4/21,9396293.0
2/5/21,9447165.0
2/6/21,9447165.0
2/7/21,9524640.0
2/8/21,9524640.0
2/9/21,9599565.0
2/10/21,9659167.0
2/11/21,9713909.0
2/12/21,9765455.0
2/13/21,9809754.0
2/14/21,9834513.0
2/15/21,9866710.0
2/16/21,9921981.0
2/17/21,9978747.0
2/18/21,10030626.0
2/19/21,10084208.0
2/20/21,10139148.0
2/21/21,10168174.0
2/22/21,10195160.0
2/23/21,10257875.0
2/24/21,10324463.0
2/25/21,10390461.0
2/26/21,10455630.0
2/27/21,10517232.0
2/28/21,10551259.0
3/1/21,10587001.0
3/2/21,10646926.0
3/3/21,10718630.0
3/4/21,10793732.0
3/5/21,10869227.0
3/6/21,10938836.0
3/7/21,11019344.0
3/8/21,11051665.0
3/9/21,11122429.0
3/10/21,11202305.0
3/11/21,11277717.0
3/12/21,11363380.0
3/13/21,11439558.0
3/14/21,11483370.0
3/15/21,11519609.0
3/16/21,11603535.0
3/17/21,11693838.0
3/18/21,11780820.0
3/19/21,11871390.0
3/20/21,11950459.0
3/21/21,11998233.0
3/22/21,12047526.0
3/23/21,12130019.0
3/24/21,12220011.0
3/25/21,12320169.0
3/26/21,12404414.0
3/27/21,12490362.0
3/28/21,12534688.0
3/29/21,12573615.0
3/30/21,12658109.0
3/31/21,12748747.0
4/1/21,12839844.0
4/2/21,12910082.0
4/3/21,12953597.0
4/4/21,12984956.0
4/5/21,13013601.0
4/6/21,13100580.0
4/7/21,13193205.0
4/8/21,13279857.0
4/9/21,13373174.0
4/10/21,13445006.0
4/11/21,13482023.0
4/12/21,13517808.0
4/13/21,13599994.0
4/14/21,13673507.0
4/15/21,13746681.0
4/16/21,13832455.0
4/17/21,13900091.0
4/18/21,13943071.0
4/19/21,13973695.0
4/20/21,14043076.0
4/21/21,14122795.0
4/22/21,14167973.0
4/23/21,14237078.0
4/24/21,14308215.0
4/25/21,14340787.0
4/26/21,14369423.0
4/27/21,14441563.0
4/28/21,14521289.0
4/29/21,14590678.0
4/30/21,14659011.0
5/1/21,14725975.0
5/2/21,14754910.0
5/3/21,14779529.0
5/4/21,14856888.0
5/5/21,14930183.0
5/6/21,15003563.0
5/7/21,15082449.0
5/8/21,15145879.0
5/9/21,15184790.0
5/10/21,15209990.0
5/11/21,15282705.0
5/12/21,15359397.0
5/13/21,15433989.0
5/14/21,15519525.0
