date,Brazil
12/16/20,183924
12/17/20,184985
12/18/20,185802
12/19/20,186461
12/20/20,186880
12/21/20,187441
12/22/20,188410
12/23/20,189375
12/24/20,190135
12/25/20,190617
12/26/20,190913
12/27/20,191250
12/28/20,191788
12/29/20,192839
12/30/20,194056
12/31/20,195072
1/1/21,195541
1/2/21,195834
1/3/21,196145
1/4/21,196742
1/5/21,197930
1/6/21,199161
1/7/21,200679
1/8/21,201760
1/9/21,202769
1/10/21,203259
1/11/21,203750
1/12/21,204875
1/13/21,206139
1/14/21,207293
1/15/21,208428
1/16/21,209442
1/17/21,209993
1/18/21,210469
1/19/21,211629
1/20/21,213024
1/21/21,214371
1/22/21,215442
1/23/21,216587
1/24/21,217182
1/25/21,217872
1/26/21,219027
1/27/21,220363
1/28/21,221801
1/29/21,222888
1/30/21,224080
1/31/21,224648
2/1/21,225271
2/2/21,226532
2/3/21,227731
2/4/21,229007
2/5/21,230258
2/6/21,231195
2/7/21,231684
2/8/21,232405
2/9/21,233720
2/10/21,235081
2/11/21,236523
2/12/21,237743
2/13/21,238768
2/14/21,239421
2/15/21,240032
2/16/21,241124
2/17/21,242313
2/18/21,243752
2/19/21,245083
2/20/21,246114
2/21/21,246720
2/22/21,247431
2/23/21,248790
2/24/21,250236
2/25/21,251811
2/26/21,253154
2/27/21,254406
2/28/21,255179
3/1/21,256007
3/2/21,257728
3/3/21,259576
3/4/21,261384
3/5/21,263098
3/6/21,264588
3/7/21,265686
3/8/21,266808
3/9/21,268759
3/10/21,271140
3/11/21,273335
3/12/21,275457
3/13/21,277413
3/14/21,278483
3/15/21,279817
3/16/21,282667
3/17/21,285328
3/18/21,288052
3/19/21,290708
3/20/21,293076
3/21/21,294323
3/22/21,295926
3/23/21,299073
3/24/21,301390
3/25/21,304044
3/26/21,307554
3/27/21,310963
3/28/21,312545
3/29/21,314558
3/30/21,318213
3/31/21,322138
4/1/21,325793
4/2/21,328594
4/3/21,330503
4/4/21,331745
4/5/21,333657
4/6/21,337725
4/7/21,341396
4/8/21,345544
4/9/21,349296
4/10/21,351674
4/11/21,353531
4/12/21,355242
4/13/21,358999
4/14/21,362444
4/15/21,365935
4/16/21,369272
4/17/21,372149
4/18/21,373671
4/19/21,375427
4/20/21,378774
4/21/21,381971
4/22/21,384022
4/23/21,387064
4/24/21,389830
4/25/21,391164
4/26/21,392544
4/27/21,395625
4/28/21,398637
4/29/21,401669
4/30/21,404530
5/1/21,406770
5/2/21,408036
5/3/21,409161
5/4/21,412140
5/5/21,414911
5/6/21,417447
5/7/21,419633
5/8/21,421715
5/9/21,422637
5/10/21,423748
5/11/21,425993
5/12/21,428574
5/13/21,430851
5/14/21,433038
5/15/21,435039
5/16/21,436100
5/17/21,437185
5/18/21,439636
5/19/21,442136
5/20/21,444647
5/21/21,446773
5/22/21,448499
5/23/21,449388
5/24/21,450250
5/25/21,452434
5/26/21,454897
5/27/21,456998
5/28/21,459424
5/29/21,461365
5/30/21,462278
5/31/21,463244
6/1/21,465578
6/2/21,468086
6/3/21,470000
6/4/21,471191
6/5/21,472861
6/6/21,473741
6/7/21,474890
6/8/21,477538
6/9/21,479930
6/10/21,482435
6/11/21,484612
6/12/21,486586
6/13/21,487706
6/14/21,488726
6/15/21,491411
6/16/21,494113
6/17/21,496427
6/18/21,498903
6/19/21,501108
6/20/21,502139
6/21/21,503120
6/22/21,505223
6/23/21,507488
6/24/21,509526
6/25/21,511534
6/26/21,513051
6/27/21,513772
6/28/21,514486
6/29/21,516424
6/30/21,518488
7/1/21,520420
7/2/21,522296
7/3/21,523932
7/4/21,524703
7/5/21,525492
7/6/21,527251
7/7/21,528836
7/8/21,530563
7/9/21,532035
7/10/21,533193
7/11/21,533758
7/12/21,534540
7/13/21,536199
7/14/21,537735
7/15/21,539344
7/16/21,540733
7/17/21,542004
7/18/21,542485
7/19/21,543153
7/20/21,544532
7/21/21,545932
7/22/21,547363
7/23/21,548654
7/24/21,549735
7/25/21,550214
7/26/21,550839
7/27/21,552128
7/28/21,553501
7/29/21,554842
7/30/21,555727
7/31/21,556676
8/1/21,557091
8/2/21,557635
8/3/21,558872
8/4/21,559944
8/5/21,561070
8/6/21,562029
8/7/21,563028
8/8/21,563417
8/9/21,563925
8/10/21,565193
8/11/21,566238
8/12/21,567254
8/13/21,568146
8/14/21,569058
8/15/21,569447
8/16/21,569861
8/17/21,570955
8/18/21,571945
8/19/21,572968
8/20/21,573862
8/21/21,574473
8/22/21,574806
8/23/21,575223
8/24/21,576082
8/25/21,576969
8/26/21,577840
8/27/21,578658
8/28/21,579287
8/29/21,579565
8/30/21,579883
8/31/21,580764
9/1/21,581461
9/2/21,582243
9/3/21,582983
9/4/21,583621
9/5/21,583892
9/6/21,584112
9/7/21,584439
9/8/21,584688
9/9/21,585512
9/10/21,586148
9/11/21,586817
9/12/21,587116
9/13/21,587400
9/14/21,588078
9/15/21,588879
9/16/21,589542
9/17/21,590180
9/18/21,590766
9/19/21,591014
9/20/21,591279
9/21/21,591952
9/22/21,592617
9/23/21,593246
9/24/21,593926
9/25/21,594466
9/26/21,594732
9/27/21,594926
9/28/21,595743
9/29/21,596424
9/30/21,597032
10/1/21,597522
10/2/21,597976
10/3/21,598202
10/4/21,598406
10/5/21,599090
10/6/21,599660
10/7/21,600088
10/8/21,600718
10/9/21,601134
10/10/21,601285
10/11/21,601492
10/12/21,601667
10/13/21,601873
10/14/21,602445
10/15/21,602952
10/16/21,603417
10/17/21,603545
10/18/21,603747
10/19/21,604126
10/20/21,604525
10/21/21,604991
10/22/21,605438
10/23/21,605788
10/24/21,605907
10/25/21,606114
10/26/21,606517
10/27/21,606952
10/28/21,607325
10/29/21,607733
10/30/21,607949
10/31/21,608082
11/1/21,608185
11/2/21,608337
11/3/21,608527
11/4/21,608961
11/5/21,609343
11/6/21,609646
11/7/21,609716
11/8/21,609836
11/9/21,610044
11/10/21,610313
11/11/21,610553
11/12/21,611174
11/13/21,611481
11/14/21,611546
11/15/21,611616
11/16/21,611759
11/17/21,612136
11/18/21,612408
11/19/21,612646
11/20/21,612853
11/21/21,612949
11/22/21,613075
11/23/21,613370
11/24/21,613641
11/25/21,613929
11/26/21,614234
11/27/21,614461
11/28/21,614541
11/29/21,614659
11/30/21,614985
12/1/21,615253
12/2/21,615449
12/3/21,615683
12/4/21,615829
12/5/21,615900
12/6/21,616032
12/7/21,616293
12/8/21,616533
12/9/21,616733
12/10/21,616961
12/11/21,617014
12/12/21,617096
12/13/21,617141
12/14/21,617254
12/15/21,617552
12/16/21,617675
12/17/21,617873
12/18/21,618011
12/19/21,618066
12/20/21,618149
12/21/21,618220
12/22/21,618366
12/23/21,618492
12/24/21,618655
