date,US
5/13/21,32931794.0
5/14/21,32973657.0
5/15/21,33003267.0
5/16/21,33020708.0
5/17/21,33048479.0
5/18/21,33076276.0
5/19/21,33105784.0
5/20/21,33135628.0
5/21/21,33164179.0
5/22/21,33184753.0
5/23/21,33198225.0
5/24/21,33222669.0
5/25/21,33245759.0
5/26/21,33270292.0
5/27/21,33297441.0
5/28/21,33319364.0
5/29/21,33331982.0
5/30/21,33338954.0
5/31/21,33344969.0
6/1/21,33366765.0
6/2/21,33383961.0
6/3/21,33403066.0
6/4/21,33420200.0
6/5/21,33434806.0
6/6/21,33440558.0
6/7/21,33455461.0
6/8/21,33468543.0
6/9/21,33487532.0
6/10/21,33501896.0
6/11/21,33526730.0
6/12/21,33535494.0
6/13/21,33540758.0
6/14/21,33552904.0
6/15/21,33563804.0
6/16/21,33576381.0
6/17/21,33587004.0
6/18/21,33608369.0
6/19/21,33616877.0
6/20/21,33621379.0
6/21/21,33632971.0
6/22/21,33643836.0
6/23/21,33656994.0
6/24/21,33670656.0
6/25/21,33694992.0
6/26/21,33703705.0
6/27/21,33708017.0
6/28/21,33722553.0
6/29/21,33729336.0
6/30/21,33745659.0
7/1/21,33760037.0
7/2/21,33789416.0
7/3/21,33794129.0
7/4/21,33797953.0
7/5/21,33806788.0
7/6/21,33830198.0
7/7/21,33852832.0
7/8/21,33871861.0
7/9/21,33919352.0
7/10/21,33927772.0
7/11/21,33938925.0
7/12/21,33972540.0
7/13/21,33998932.0
7/14/21,34032101.0
7/15/21,34062009.0
7/16/21,34139489.0
7/17/21,34151374.0
7/18/21,34171349.0
7/19/21,34223470.0
7/20/21,34264041.0
7/21/21,34314626.0
7/22/21,34369292.0
7/23/21,34488687.0
7/24/21,34513868.0
7/25/21,34539502.0
7/26/21,34626025.0
7/27/21,34694769.0
7/28/21,34764209.0
7/29/21,34843499.0
7/30/21,35031570.0
7/31/21,35064230.0
8/1/21,35107168.0
8/2/21,35227384.0
8/3/21,35330584.0
8/4/21,35427253.0
8/5/21,35538176.0
8/6/21,35793471.0
8/7/21,35842552.0
8/8/21,35870436.0
8/9/21,36050171.0
8/10/21,36171381.0
8/11/21,36327638.0
8/12/21,36469834.0
8/13/21,36699678.0
8/14/21,36749110.0
8/15/21,36791184.0
8/16/21,37010631.0
8/17/21,37163446.0
8/18/21,37322070.0
8/19/21,37479308.0
8/20/21,37724994.0
8/21/21,37791526.0
8/22/21,37827905.0
8/23/21,38065323.0
8/24/21,38222448.0
8/25/21,38391880.0
8/26/21,38576323.0
8/27/21,38819898.0
8/28/21,38881168.0
8/29/21,38923484.0
8/30/21,39182772.0
8/31/21,39354047.0
9/1/21,39556301.0
9/2/21,39731381.0
9/3/21,39966975.0
9/4/21,40036360.0
9/5/21,40080323.0
9/6/21,40158384.0
9/7/21,40423813.0
9/8/21,40606844.0
9/9/21,40766963.0
9/10/21,40995170.0
9/11/21,41064377.0
9/12/21,41104176.0
9/13/21,41356230.0
9/14/21,41502413.0
9/15/21,41672989.0
9/16/21,41828499.0
9/17/21,42037370.0
9/18/21,42097851.0
9/19/21,42137372.0
9/20/21,42332259.0
9/21/21,42453913.0
9/22/21,42587041.0
9/23/21,42713514.0
9/24/21,42890418.0
9/25/21,42941286.0
9/26/21,42989358.0
9/27/21,43158738.0
9/28/21,43270117.0
9/29/21,43393534.0
9/30/21,43503491.0
10/1/21,43656368.0
10/2/21,43698857.0
10/3/21,43739435.0
10/4/21,43894399.0
10/5/21,43991776.0
10/6/21,44102365.0
10/7/21,44202908.0
10/8/21,44329383.0
10/9/21,44359825.0
10/10/21,44396026.0
10/11/21,44500485.0
10/12/21,44606855.0
10/13/21,44728427.0
10/14/21,44814805.0
10/15/21,44924603.0
10/16/21,44959223.0
10/17/21,44990339.0
10/18/21,45095100.0
10/19/21,45176047.0
10/20/21,45267502.0
10/21/21,45346399.0
10/22/21,45441551.0
10/23/21,45470428.0
10/24/21,45487857.0
10/25/21,45604220.0
10/26/21,45672931.0
10/27/21,45773827.0
10/28/21,45851378.0
10/29/21,45944956.0
10/30/21,45976585.0
10/31/21,46007580.0
11/1/21,46123205.0
11/2/21,46194314.0
11/3/21,46278892.0
11/4/21,46360717.0
11/5/21,46456800.0
11/6/21,46489700.0
11/7/21,46525017.0
11/8/21,46637354.0
